country_code,year,indicator_code,value
ABW,1991,NY.GDP.PCAP.CD,13233.9905169683
ABW,1992,NY.GDP.PCAP.CD,13892.6051427736
ABW,1993,NY.GDP.PCAP.CD,14700.9598081521
ABW,1994,NY.GDP.PCAP.CD,16055.2877874337
ABW,1995,NY.GDP.PCAP.CD,16548.7173868987
ABW,1996,NY.GDP.PCAP.CD,16620.9545555513
ABW,1997,NY.GDP.PCAP.CD,17750.0095644198
ABW,1998,NY.GDP.PCAP.CD,18828.0870594071
ABW,1999,NY.GDP.PCAP.CD,19216.1972354472
ABW,2000,NY.GDP.PCAP.CD,20681.0230269625
ABW,2001,NY.GDP.PCAP.CD,20740.1325828172
ABW,2002,NY.GDP.PCAP.CD,21307.2482505267
ABW,2003,NY.GDP.PCAP.CD,21949.4859960868
ABW,2004,NY.GDP.PCAP.CD,23700.6319899197
ABW,2005,NY.GDP.PCAP.CD,24171.8371325422
ABW,2006,NY.GDP.PCAP.CD,24845.65848362
ABW,2007,NY.GDP.PCAP.CD,26736.3089444046
ABW,2008,NY.GDP.PCAP.CD,28171.9094008501
ABW,2009,NY.GDP.PCAP.CD,25134.7712303589
ABW,2010,NY.GDP.PCAP.CD,24093.1401510626
ABW,2011,NY.GDP.PCAP.CD,25712.3843015186
ABW,2012,NY.GDP.PCAP.CD,25119.6655449838
ABW,2013,NY.GDP.PCAP.CD,25813.5767274227
ABW,2014,NY.GDP.PCAP.CD,26129.8390617693
ABW,2015,NY.GDP.PCAP.CD,27458.2253310273
ABW,2016,NY.GDP.PCAP.CD,27441.5296617282
ABW,2017,NY.GDP.PCAP.CD,28440.051963759
ABW,2018,NY.GDP.PCAP.CD,30082.1276448186
ABW,2019,NY.GDP.PCAP.CD,31096.2050738676
ABW,2020,NY.GDP.PCAP.CD,22855.9323200761
ABW,2021,NY.GDP.PCAP.CD,27200.0610793969
ABW,2022,NY.GDP.PCAP.CD,30559.5335346581
ABW,2023,NY.GDP.PCAP.CD,33984.7906198041
ABW,2024,NY.GDP.PCAP.CD,
ABW,1991,SL.UEM.TOTL.ZS,
ABW,1992,SL.UEM.TOTL.ZS,
ABW,1993,SL.UEM.TOTL.ZS,
ABW,1994,SL.UEM.TOTL.ZS,
ABW,1995,SL.UEM.TOTL.ZS,
ABW,1996,SL.UEM.TOTL.ZS,
ABW,1997,SL.UEM.TOTL.ZS,
ABW,1998,SL.UEM.TOTL.ZS,
ABW,1999,SL.UEM.TOTL.ZS,
ABW,2000,SL.UEM.TOTL.ZS,
ABW,2001,SL.UEM.TOTL.ZS,
ABW,2002,SL.UEM.TOTL.ZS,
ABW,2003,SL.UEM.TOTL.ZS,
ABW,2004,SL.UEM.TOTL.ZS,
ABW,2005,SL.UEM.TOTL.ZS,
ABW,2006,SL.UEM.TOTL.ZS,
ABW,2007,SL.UEM.TOTL.ZS,
ABW,2008,SL.UEM.TOTL.ZS,
ABW,2009,SL.UEM.TOTL.ZS,
ABW,2010,SL.UEM.TOTL.ZS,
ABW,2011,SL.UEM.TOTL.ZS,
ABW,2012,SL.UEM.TOTL.ZS,
ABW,2013,SL.UEM.TOTL.ZS,
ABW,2014,SL.UEM.TOTL.ZS,
ABW,2015,SL.UEM.TOTL.ZS,
ABW,2016,SL.UEM.TOTL.ZS,
ABW,2017,SL.UEM.TOTL.ZS,
ABW,2018,SL.UEM.TOTL.ZS,
ABW,2019,SL.UEM.TOTL.ZS,
ABW,2020,SL.UEM.TOTL.ZS,
ABW,2021,SL.UEM.TOTL.ZS,
ABW,2022,SL.UEM.TOTL.ZS,
ABW,2023,SL.UEM.TOTL.ZS,
ABW,2024,SL.UEM.TOTL.ZS,
AFE,1991,NY.GDP.PCAP.CD,864.563865250914
AFE,1992,NY.GDP.PCAP.CD,733.243855634055
AFE,1993,NY.GDP.PCAP.CD,709.659254937363
AFE,1994,NY.GDP.PCAP.CD,701.041551520198
AFE,1995,NY.GDP.PCAP.CD,766.820590836759
AFE,1996,NY.GDP.PCAP.CD,747.069673916573
AFE,1997,NY.GDP.PCAP.CD,767.684192170293
AFE,1998,NY.GDP.PCAP.CD,697.352671611013
AFE,1999,NY.GDP.PCAP.CD,670.697829187975
AFE,2000,NY.GDP.PCAP.CD,707.120377674078
AFE,2001,NY.GDP.PCAP.CD,626.169149753934
AFE,2002,NY.GDP.PCAP.CD,625.998816166344
AFE,2003,NY.GDP.PCAP.CD,809.968140498029
AFE,2004,NY.GDP.PCAP.CD,981.744631574583
AFE,2005,NY.GDP.PCAP.CD,1115.71395657647
AFE,2006,NY.GDP.PCAP.CD,1220.00246913408
AFE,2007,NY.GDP.PCAP.CD,1362.31065164416
AFE,2008,NY.GDP.PCAP.CD,1421.11861281885
AFE,2009,NY.GDP.PCAP.CD,1386.59024970969
AFE,2010,NY.GDP.PCAP.CD,1601.72765054704
AFE,2011,NY.GDP.PCAP.CD,1735.58492331253
